2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Metadata loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/metadata.json
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Loading model artifacts …
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Model loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/model_v1.pkl
2026-02-18 16:54:34 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:34 | INFO     | src.models.predict                  | Predictor ready.
2026-02-18 16:54:34 | INFO     | src.models.registry                 | Metadata loaded ← /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/metadata.json
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Split — train=160  test=40  pos_rate=48.75%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Split — train=160  test=40  pos_rate=48.75%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (200, 9), default_rate=48.50%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Split — train=160  test=40  pos_rate=48.75%
2026-02-18 16:54:34 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=200]
